,EMA,CMO,MINUSDM,PLUSDM,CLOSE,CLOSEL1,CLOSEL2,CLOSEL3,3O,CMB,UP_DOWN
8144,18983.837588196962,11.57256159526373,200.75109042844045,405.4616570549297,19000.68,19215.54,19313.09,19387.62,0,0,1
8145,19005.904484559156,34.69777910227482,190.71353590701844,611.9885742021825,19215.54,19313.09,19387.62,19393.52,0,0,1
8146,19035.160247934473,41.952643887530215,181.17785911166752,662.4691454920751,19313.09,19387.62,19393.52,19355.07,0,0,1
8147,19068.727843369285,46.71363839747376,172.11896615608413,738.405688217469,19387.62,19393.52,19355.07,19312.33,0,0,1
8148,19099.660429715066,47.075356681520084,163.51301784827993,711.4954038065976,19393.52,19355.07,19312.33,19364.28,0,0,0
8149,19123.985150694585,40.531283687580036,213.3073669558671,675.9206336162677,19355.07,19312.33,19364.28,19395.02,0,0,0
8150,19141.92275539034,33.576968410421394,254.45199860807506,642.1246019354543,19312.33,19364.28,19395.02,19381.79,0,0,1
8151,19163.099635829356,37.532140770546505,241.7293986776713,624.3583718386817,19364.28,19395.02,19381.79,19341.56,0,0,1
8152,19185.187289559894,39.766135551432384,229.64292874378773,624.5804532467463,19395.02,19381.79,19341.56,19337.21,0,0,0
8153,19203.911357220855,37.53780307472617,218.16078230659835,593.351430584409,19381.79,19341.56,19337.21,19303.94,0,0,0
8154,19217.02075177125,30.859737775213485,261.3027431912677,563.6838590551885,19341.56,19337.21,19303.94,19310.21,0,0,0
8155,19228.467346840654,30.14052605600799,248.23760603170433,535.499666102429,19337.21,19303.94,19310.21,19280.93,0,0,0
8156,19235.655218570115,24.62610808158946,264.6657257301192,508.7246827973076,19303.94,19310.21,19280.93,19292.84,0,0,1
8157,19242.75567394439,25.25440346717445,263.142439443616,483.2884486574422,19310.21,19280.93,19292.84,19350.28,0,0,0
8158,19246.391324044926,20.324080084198386,252.15531747143348,459.12402622457006,19280.93,19292.84,19350.28,19347.63,0,1,1
8159,19250.815007469217,21.644670161832693,271.3075515978602,436.1678249133416,19292.84,19350.28,19347.63,19269.24,0,0,1
8160,19260.28786390072,27.72604572311339,257.74217401796716,474.4894336676719,19350.28,19347.63,19269.24,19304.51,0,0,0
8161,19268.60616257684,27.246437356498742,244.8550653170688,464.2249619842911,19347.63,19269.24,19304.51,19299.74,0,0,0
8162,19268.666528045713,13.925922185107575,338.2623120512168,441.0137138850765,19269.24,19304.51,19299.74,19300.44,0,0,1
8163,19272.080192041358,17.991795860611347,321.34919644865596,418.9630281908227,19304.51,19299.74,19300.44,19175.99,0,1,0
8164,19274.71445946599,17.20364034717247,305.28173662622316,417.19487678128183,19299.74,19300.44,19175.99,19183.59,0,0,1
8165,19277.164510945422,17.288985627547124,313.0076497949136,396.33513294221774,19300.44,19175.99,19183.59,19213.92,0,0,0
8166,19267.528843236334,-1.6777771054492772,414.9972673051674,376.51837629510686,19175.99,19183.59,19213.92,19233.87,0,0,1
8167,19259.534667690015,-0.6316948046608784,394.247403939909,357.6924574803515,19183.59,19213.92,19233.87,19213.0,0,0,1
8168,19255.1904136243,3.5373283745820583,374.5350337429136,353.6578346063361,19213.92,19233.87,19213.0,19238.62,0,0,1
8169,19253.15989804103,6.227150252040507,355.8082820557679,367.76494287601656,19233.87,19213.0,19238.62,19243.29,0,0,0
8170,19249.335145846646,3.062534413326809,342.66786795298094,349.37669573221575,19213.0,19238.62,19243.29,19208.38,0,0,1
8171,19248.31465576601,6.655931917143825,330.8844745553304,331.90786094560497,19238.62,19243.29,19208.38,19224.47,0,0,1
8172,19247.836117121627,7.315161138501171,314.3402508275639,325.90246789832486,19243.29,19208.38,19224.47,19218.4,0,0,0
8173,19244.078391681473,1.6653731909088243,325.9732382861879,309.6073445034086,19208.38,19224.47,19218.4,19265.91,0,1,1
8174,19242.210925807045,4.114474269632498,325.20457637187735,294.1269772782382,19224.47,19218.4,19265.91,19290.78,0,0,0
8175,19239.943218587327,3.094835855460564,308.9443475532835,287.90062841432587,19218.4,19265.91,19290.78,19338.43,0,0,1
8176,19242.416245388533,10.330101648336946,293.4971301756193,320.3955969936126,19265.91,19290.78,19338.43,19352.29,0,0,1
8177,19247.02231725629,13.873433686515583,278.8222736668383,343.33581714393114,19290.78,19338.43,19352.29,19324.14,0,0,1
8178,19255.72781085093,20.23061952356725,264.8811599834964,366.9790262867323,19338.43,19352.29,19324.14,19310.2,0,0,1
8179,19264.92420981751,21.9935492950594,251.63710198432156,371.34007497239844,19352.29,19324.14,19310.2,19299.3,0,0,0
8180,19270.563808882507,16.489562652964494,249.96524688510533,352.7730712237785,19324.14,19310.2,19299.3,19302.79,0,0,0
8181,19274.33868422703,13.812905276412291,265.8169845408522,335.1344176625896,19310.2,19299.3,19302.79,19337.57,0,0,0
8182,19276.715952395884,11.700386569362339,254.98613531380875,318.3776967794601,19299.3,19302.79,19337.57,19284.2,0,0,1
8183,19279.19919502485,12.249339077569706,242.2368285481183,302.4588119404871,19302.79,19337.57,19284.2,19276.01,0,0,1
8184,19284.758319308195,17.621748319727683,230.12498712071238,318.8958713434641,19337.57,19284.2,19276.01,19234.31,0,1,0
8185,19284.70514604075,7.036642833313319,233.7087377646769,302.9510777762909,19284.2,19276.01,19234.31,19230.42,0,0,0
8186,19283.87703689401,5.5029608997551,253.38330087644,287.80352388747633,19276.01,19234.31,19230.42,19112.32,0,0,0
8187,19279.15636671363,-2.0212870844855204,261.9541358326196,273.41334769310254,19234.31,19230.42,19112.32,19179.32,0,0,0
8188,19274.514807978998,-2.70266700239585,292.85642904098864,259.7426803084474,19230.42,19112.32,19179.32,19171.66,0,0,0
8189,19259.06768340957,-20.394651110195618,402.2136075889392,246.75554629302502,19112.32,19179.32,19171.66,19154.64,0,0,1
